frame_idx,label
0,-1
1,-1
2,-1
3,-1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
28,2
29,2
30,2
31,2
32,2
32,3
33,3
34,3
35,3
36,3
36,4
37,4
38,4
39,4
40,4
41,4
42,4
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
49,0
50,0
51,0
52,0
53,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
65,2
66,2
66,3
67,3
68,3
69,3
70,3
70,4
71,4
72,4
73,4
74,4
75,4
76,4
76,5
77,5
78,5
79,5
80,5
81,5
82,5
82,0
83,0
84,0
85,0
86,0
87,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
96,2
97,2
98,2
99,2
100,2
100,3
101,3
102,3
103,3
104,3
104,4
105,4
106,4
107,4
108,4
109,4
110,4
110,5
111,5
112,5
113,5
114,5
115,5
116,5
116,0
117,0
118,0
119,0
120,0
121,0
122,-1
