,frame_idx,label
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,12,-1
13,13,-1
14,14,-1
15,15,-1
16,16,-1
17,17,-1
18,18,-1
19,19,-1
20,20,-1
21,21,-1
22,22,-1
23,23,-1
24,24,-1
25,25,-1
26,26,-1
27,27,-1
28,28,-1
29,29,-1
30,30,-1
31,31,-1
32,32,-1
33,33,-1
34,34,-1
35,35,-1
36,36,-1
37,37,-1
38,38,-1
39,39,-1
40,40,-1
41,41,-1
42,42,-1
43,43,-1
44,44,-1
45,45,-1
46,46,-1
47,47,-1
48,48,-1
49,49,-1
50,50,-1
51,51,-1
52,52,-1
53,53,-1
54,54,-1
55,55,-1
56,56,-1
57,57,-1
58,58,-1
59,59,-1
60,60,-1
61,61,-1
62,62,-1
63,63,-1
64,64,-1
65,65,-1
66,66,-1
67,67,-1
68,68,-1
69,69,-1
70,70,-1
71,71,-1
72,72,-1
73,73,-1
74,74,-1
75,75,-1
76,76,0
77,77,0
78,78,0
79,79,0
80,80,0
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,2
96,96,2
97,97,3
98,98,3
99,99,3
100,100,3
101,101,3
102,102,4
103,103,4
104,104,4
105,105,4
106,106,4
107,107,5
108,108,5
109,109,5
110,110,5
111,111,5
112,112,5
113,113,5
114,114,5
115,115,5
116,116,5
117,117,5
118,118,5
119,119,0
120,120,0
121,121,0
122,122,0
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,1
130,130,1
131,131,1
132,132,1
133,133,1
134,134,2
135,135,2
136,136,2
137,137,3
138,138,3
139,139,3
140,140,3
141,141,3
142,142,4
143,143,4
144,144,4
145,145,4
146,146,4
147,147,5
148,148,5
149,149,5
150,150,5
151,151,5
152,152,5
153,153,5
154,154,5
155,155,5
156,156,5
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,1
163,163,1
164,164,1
165,165,1
166,166,1
167,167,1
168,168,1
169,169,1
170,170,1
171,171,1
172,172,1
173,173,1
174,174,2
175,175,3
176,176,3
177,177,3
178,178,3
179,179,3
180,180,3
181,181,4
182,182,4
183,183,4
184,184,4
185,185,4
186,186,4
187,187,5
188,188,5
189,189,5
190,190,5
191,191,5
192,192,5
193,193,5
194,194,5
195,195,5
196,196,0
197,197,0
198,198,0
199,199,0
200,200,0
201,201,1
202,202,1
203,203,1
204,204,1
205,205,1
206,206,1
207,207,1
208,208,1
209,209,1
210,210,1
211,211,1
212,212,1
213,213,2
214,214,2
215,215,3
216,216,3
217,217,3
218,218,3
219,219,3
220,220,4
221,221,4
222,222,4
223,223,4
224,224,4
225,225,4
226,226,4
227,227,-1
228,228,-1
229,229,-1
230,230,-1
231,231,-1
232,232,-1
233,233,-1
234,234,-1
235,235,-1
236,236,-1
237,237,-1
238,238,-1
239,239,-1
240,240,-1
241,241,-1
242,242,-1
243,243,-1
244,244,-1
245,245,-1
246,246,-1
247,247,-1
248,248,-1
249,249,-1
250,250,-1
