frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
32,3
33,3
34,3
35,3
36,3
36,4
37,4
38,4
39,4
40,4
47,0
48,0
49,0
50,0
51,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
60,2
61,2
61,3
62,3
63,3
64,3
65,3
65,4
66,4
67,4
68,4
69,4
70,4
77,0
78,0
79,0
80,0
81,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
91,2
92,2
92,3
93,3
94,3
95,3
96,3
97,3
97,4
98,4
99,4
100,4
101,4
102,4
109,0
110,0
111,0
112,0
113,0
114,0
115,-1
