,frame_idx,label
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,12,-1
13,13,-1
14,14,-1
15,15,-1
16,16,-1
17,17,-1
18,18,-1
19,19,-1
20,20,-1
21,21,-1
22,22,-1
23,23,-1
24,24,-1
25,25,-1
26,26,-1
27,27,-1
28,28,-1
29,29,-1
30,30,-1
31,31,-1
32,32,-1
33,33,-1
34,34,-1
35,35,-1
36,36,-1
37,37,-1
38,38,-1
39,39,-1
40,40,-1
41,41,-1
42,42,-1
43,43,-1
44,44,-1
45,45,-1
46,46,-1
47,47,-1
48,48,-1
49,49,-1
50,50,-1
51,51,-1
52,52,-1
53,53,-1
54,54,-1
55,55,-1
56,56,-1
57,57,-1
58,58,-1
59,59,-1
60,60,-1
61,61,-1
62,62,-1
63,63,-1
64,64,-1
65,65,-1
66,66,-1
67,67,-1
68,68,-1
69,69,-1
70,70,-1
71,71,-1
72,72,-1
73,73,-1
74,74,-1
75,75,-1
76,76,-1
77,77,-1
78,78,-1
79,79,-1
80,80,-1
81,81,-1
82,82,-1
83,83,-1
84,84,-1
85,85,-1
86,86,-1
87,87,-1
88,88,-1
89,89,-1
90,90,-1
91,91,-1
92,92,-1
93,93,-1
94,94,-1
95,95,-1
96,96,-1
97,97,0
98,98,0
99,99,0
100,100,0
101,101,0
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,2
117,117,2
118,118,2
119,119,3
120,120,3
121,121,3
122,122,3
123,123,4
124,124,4
125,125,4
126,126,4
127,127,4
128,128,5
129,129,5
130,130,5
131,131,5
132,132,5
133,133,5
134,134,5
135,135,5
136,136,5
137,137,0
138,138,0
139,139,0
140,140,0
141,141,0
142,142,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
154,154,1
155,155,2
156,156,2
157,157,3
158,158,3
159,159,3
160,160,3
161,161,3
162,162,4
163,163,4
164,164,4
165,165,4
166,166,4
167,167,5
168,168,5
169,169,5
170,170,5
171,171,5
172,172,5
173,173,5
174,174,5
175,175,0
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
181,181,1
182,182,1
183,183,1
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,191,1
192,192,1
193,193,1
194,194,2
195,195,2
196,196,3
197,197,3
198,198,3
199,199,3
200,200,3
201,201,4
202,202,4
203,203,4
204,204,4
205,205,4
206,206,5
207,207,5
208,208,5
209,209,5
210,210,5
211,211,5
212,212,5
213,213,5
214,214,5
215,215,0
216,216,0
217,217,0
218,218,0
219,219,0
220,220,0
221,221,-1
222,222,-1
223,223,-1
224,224,-1
225,225,-1
226,226,-1
227,227,-1
228,228,-1
229,229,-1
230,230,-1
231,231,-1
232,232,-1
233,233,-1
234,234,-1
235,235,-1
236,236,-1
237,237,-1
238,238,-1
239,239,-1
240,240,-1
241,241,-1
242,242,-1
243,243,-1
244,244,-1
245,245,-1
246,246,-1
247,247,-1
248,248,-1
249,249,-1
250,250,-1
