,frame_idx,label
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,2
24,24,2
25,25,2
26,26,2
27,27,3
28,28,3
29,29,3
30,30,3
31,31,4
32,32,4
33,33,4
34,34,4
35,35,5
36,36,5
37,37,5
38,38,5
39,39,5
40,40,5
41,41,5
42,42,5
43,43,5
44,44,0
45,45,0
46,46,0
47,47,0
48,48,1
49,49,1
50,50,1
51,51,1
52,52,1
53,53,1
54,54,1
55,55,1
56,56,1
57,57,1
58,58,2
59,59,2
60,60,2
61,61,2
62,62,3
63,63,3
64,64,3
65,65,4
66,66,4
67,67,4
68,68,4
69,69,4
70,70,5
71,71,5
72,72,5
73,73,5
74,74,5
75,75,5
76,76,5
77,77,5
78,78,0
79,79,0
80,80,0
81,81,0
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,2
92,92,2
93,93,2
94,94,2
95,95,2
96,96,3
97,97,3
98,98,3
99,99,3
100,100,4
101,101,4
102,102,4
103,103,4
104,104,4
105,105,5
106,106,5
107,107,5
108,108,5
109,109,5
110,110,5
111,111,5
112,112,5
113,113,0
114,114,0
115,115,0
116,116,0
117,117,0
118,118,1
119,119,1
120,120,1
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,2
127,127,2
128,128,2
129,129,2
130,130,2
131,131,3
132,132,3
133,133,3
134,134,3
135,135,4
136,136,4
137,137,4
138,138,4
139,139,4
140,140,4
141,141,4
142,142,-1
143,143,-1
144,144,-1
145,145,-1
146,146,-1
147,147,-1
148,148,-1
149,149,-1
150,150,-1
