frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
25,2
25,3
26,3
27,3
28,3
29,3
30,3
31,3
31,4
32,4
33,4
34,4
35,4
36,4
36,5
37,5
38,5
39,5
40,5
41,5
42,5
76,0
77,0
78,0
79,0
80,0
59,2
60,2
60,3
61,3
62,3
63,3
64,3
65,3
65,4
66,4
67,4
68,4
69,4
70,4
70,5
71,5
72,5
73,5
74,5
75,5
76,5
108,0
109,0
110,0
111,0
91,2
91,3
92,3
93,3
94,3
95,3
95,4
96,4
97,4
98,4
99,4
100,4
101,4
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
140,0
141,0
142,0
143,0
144,0
145,0
123,2
124,2
124,3
125,3
126,3
127,3
128,3
128,4
129,4
130,4
131,4
132,4
133,4
134,4
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,-1
