,frame_idx,label
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,12,-1
13,13,-1
14,14,-1
15,15,-1
16,16,-1
17,17,-1
18,18,-1
19,19,-1
20,20,-1
21,21,-1
22,22,-1
23,23,-1
24,24,-1
25,25,-1
26,26,-1
27,27,-1
28,28,-1
29,29,-1
30,30,-1
31,31,-1
32,32,-1
33,33,-1
34,34,-1
35,35,-1
36,36,-1
37,37,-1
38,38,-1
39,39,-1
40,40,-1
41,41,-1
42,42,-1
43,43,-1
44,44,-1
45,45,-1
46,46,-1
47,47,-1
48,48,-1
49,49,-1
50,50,-1
51,51,-1
52,52,-1
53,53,-1
54,54,-1
55,55,-1
56,56,-1
57,57,-1
58,58,-1
59,59,-1
60,60,-1
61,61,-1
62,62,-1
63,63,-1
64,64,-1
65,65,-1
66,66,-1
67,67,-1
68,68,-1
69,69,-1
70,70,-1
71,71,-1
72,72,-1
73,73,-1
74,74,0
75,75,0
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,2
87,87,2
88,88,2
89,89,2
90,90,3
91,91,3
92,92,3
93,93,4
94,94,4
95,95,4
96,96,4
97,97,4
98,98,4
99,99,5
100,100,5
101,101,5
102,102,5
103,103,5
104,104,5
105,105,5
106,106,0
107,107,0
108,108,0
109,109,0
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,1
117,117,1
118,118,1
119,119,1
120,120,2
121,121,2
122,122,2
123,123,3
124,124,3
125,125,3
126,126,3
127,127,4
128,128,4
129,129,4
130,130,4
131,131,4
132,132,4
133,133,5
134,134,5
135,135,5
136,136,5
137,137,5
138,138,5
139,139,5
140,140,5
141,141,0
142,142,0
143,143,0
144,144,0
145,145,0
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,158,1
159,159,2
160,160,3
161,161,3
162,162,3
163,163,3
164,164,3
165,165,3
166,166,4
167,167,4
168,168,4
169,169,4
170,170,4
171,171,4
172,172,4
173,173,-1
174,174,-1
175,175,-1
176,176,-1
177,177,-1
178,178,-1
179,179,-1
180,180,-1
181,181,-1
182,182,-1
183,183,-1
184,184,-1
185,185,-1
186,186,-1
187,187,-1
188,188,-1
189,189,-1
190,190,-1
191,191,-1
192,192,-1
193,193,-1
194,194,-1
195,195,-1
196,196,-1
197,197,-1
198,198,-1
199,199,-1
200,200,-1
