frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,3
78,3
79,3
80,3
81,3
82,4
83,4
84,4
85,4
86,4
87,4
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,2
115,2
116,3
117,3
118,3
119,3
120,4
121,4
122,4
123,4
124,4
125,4
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,2
151,2
152,3
153,3
154,3
155,3
156,3
157,4
158,4
159,4
160,4
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,2
188,2
189,3
190,3
191,3
192,3
193,4
194,4
195,4
196,4
197,4
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,-1
