frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,2
60,2
61,2
62,3
63,3
64,3
65,3
66,4
67,4
68,4
69,4
70,4
71,4
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,2
96,2
97,3
98,3
99,3
100,3
101,4
102,4
103,4
104,4
105,4
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,2
131,2
132,3
133,3
134,3
135,3
136,4
137,4
138,4
139,4
140,4
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,2
167,2
168,2
169,3
170,3
171,3
172,3
173,3
174,4
175,4
176,4
177,4
178,4
179,5
180,5
181,5
182,5
183,5
184,-1
