frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,3
37,3
38,3
39,3
40,3
41,4
42,4
43,4
44,4
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,3
75,3
76,3
77,4
78,4
79,4
80,4
81,4
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,2
110,3
111,3
112,3
113,4
114,4
115,4
116,4
117,4
118,4
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,2
147,3
148,3
149,3
150,4
151,4
152,4
153,4
154,4
155,4
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,2
184,2
185,3
186,3
187,3
188,3
189,4
190,4
191,4
192,4
193,4
194,4
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
